spend,conversions,revenue,roas,profit,marginal_roas,budget
1.0,6.336674118560566,740.12,740.1235,739.12,50.175,42.06
6.9288442211055274,9.56351401528323,1117.02,161.2128,1110.09,25.613,48.82
12.857688442211055,11.024171157005425,1287.62,100.1442,1274.77,18.673,55.58
18.78653266331658,12.04851391186135,1407.27,74.9083,1388.48,15.108,62.33
24.71537688442211,12.860974845276147,1502.16,60.7784,1477.45,12.895,69.09
30.644221105527638,13.545983303439554,1582.17,51.6303,1551.53,11.373,75.85
36.57306532663316,14.145178336085072,1652.16,45.1741,1615.58,10.257,82.6
42.50190954773869,14.68237640420473,1714.9,40.3488,1672.4,9.402,89.36
48.43075376884422,15.17256111499984,1772.16,36.5915,1723.72,8.723,96.12
54.35959798994975,15.625810655761299,1825.09,33.5745,1770.74,8.173,102.87
60.288442211055276,16.049248907776136,1874.55,31.0931,1814.26,7.716,109.63
66.2172864321608,16.448108745702246,1921.14,29.0127,1854.92,7.331,116.39
72.14613065326633,16.826353659192975,1965.32,27.2408,1893.17,7.002,123.14
78.07497487437186,17.187061813959946,2007.45,25.7118,1929.37,6.719,129.9
84.00381909547738,17.53267419105497,2047.82,24.3777,1963.81,6.471,136.66
89.93266331658292,17.865160946210544,2086.65,23.2024,1996.72,6.254,143.42
95.86150753768844,18.186136465184433,2124.14,22.1584,2028.28,6.061,150.17
101.79035175879396,18.496941077473497,2160.44,21.2244,2058.65,5.89,156.93
107.7191959798995,18.798700436562505,2195.69,20.3834,2087.97,5.735,163.69
113.64804020100502,19.092369543098773,2229.99,19.6219,2116.34,5.597,170.44
119.57688442211055,19.378765963044856,2263.44,18.9287,2143.86,5.472,177.2
125.50572864321607,19.658595287977448,2296.12,18.295,2170.62,5.359,183.96
131.4345728643216,19.932470924047472,2328.11,17.7131,2196.68,5.255,190.71
137.36341708542713,20.200929667464465,2359.47,17.1768,2222.11,5.16,197.47
143.29226130653265,20.464444103752164,2390.25,16.6809,2246.95,5.074,204.23
149.22110552763817,20.72343258093034,2420.5,16.2209,2271.28,4.994,210.98
155.14994974874372,20.97826730725917,2450.26,15.7929,2295.11,4.921,217.74
